"Country.Code","City","Location","Latitude","Longitude","Pollutant","Source.Name","Unit","value","LastUpdated","Country.Label","Department","Region","Postal_Code"
"FR","Bastia","Inconnu","42.6979179997938","9.44641700035104","PM2.5","EEA France","µg/m³","2.00","2023-08-10 10:00:00","France","Haute-Corse","Corse","20297"
"FR","Lorient","Inconnu","47.7424999999031","-3.395009999658","O3","EEA France","µg/m³","82.00","2024-09-18 23:00:00","France","Morbihan","Bretagne","56100"
"FR","Manosque","Inconnu","43.835784999887","5.78613100015114","PM10","EEA France","µg/m³","9.10","2024-09-18 23:00:00","France","Alpes-de-Haute-Provence","Provence-Alpes-Côte d'Azur","04100"
"FR","Dole","Inconnu","47.0967200000337","5.49638900016394","NO2","EEA France","µg/m³","9.40","2024-09-18 23:00:00","France","Jura","Bourgogne-Franche-Comté","39100"
"FR","Bourges","Inconnu","47.0827800000004","2.4053329995665","PM2.5","EEA France","µg/m³","7.40","2024-09-18 23:00:00","France","Cher","Centre-Val de Loire","18000"
"FR","Montceau-les-Mines","Inconnu","46.6787830000584","4.36689299992175","NO2","EEA France","µg/m³","8.00","2024-09-16 08:00:00","France","Saône-et-Loire","Bourgogne-Franche-Comté","71300"
"FR","Montpellier","Inconnu","43.61160700016","3.82786800014493","NO","EEA France","µg/m³","41.30","2024-09-18 23:00:00","France","Hérault","Occitanie","34185"
"FR","Denain","Inconnu","50.3227600000871","3.39593000027307","NO","EEA France","µg/m³","2.70","2024-09-17 23:00:00","France","Nord","Hauts-de-France","59220"
"FR","Nogent-sur-Marne","Musée intercommunal de Nogent-sur-Marne","48.8405569997725","2.4844440001401","PM10","EEA France","µg/m³","24.80","2024-09-17 23:00:00","France","Val-de-Marne","Île-de-France","94130"
"FR","Aix-en-Provence","Inconnu","43.5302849996847","5.44091200008074","PM10","EEA France","µg/m³","3.60","2024-03-10 23:00:00","France","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","13100"
"FR","Thionville","Inconnu","49.3583370001585","6.15694200014625","PM10","EEA France","µg/m³","24.00","2024-09-17 23:00:00","France","Moselle","Grand Est","57100"
"FR","Tremblay-en-France","Inconnu","48.9555499999541","2.57527799990011","NO","EEA France","µg/m³","44.30","2024-09-17 23:00:00","France","Seine-Saint-Denis","Île-de-France","93290"
"FR","Marseille","4e Arrondissement","43.3052859999273","5.39471600005097","PM2.5","EEA France","µg/m³","3.70","2024-03-10 02:00:00","France","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","13004"
"FR","Marseille","8e Arrondissement","43.2764499999454","5.39735999974862","NO2","EEA France","µg/m³","30.80","2024-09-16 08:00:00","France","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","13008"
"FR","Valenciennes","Inconnu","50.3642500001959","3.52272999998034","NO2","EEA France","µg/m³","14.30","2024-09-17 23:00:00","France","Nord","Hauts-de-France","59300"
