LastUpdated,Postal_Code,City,NO2,O3,PM10,PM2.5,Latitude,Longitude,Country.Label,Department,Region,Altitude Moyenne,Superficie,p16_pop,p17_pop,p18_pop,p19_pop,p20_pop,p21_pop,p24_pop
2024-09-16 23:00:00,12000,Rodez,3.1,71.7,7.7,4.5,44.3569899999812,2.57070419978324,France,Aveyron,Occitanie,565.0,1130.0,23739.0,24057,24319.0,24475.0,24397.0,24207.0,2284.0
2019-02-12 01:00:00,12100,Millau,,51.3,,,44.1061895923754,3.07217538961888,France,Aveyron,Occitanie,688.0,17008.0,22200.0,22109,22002.0,21979.0,21482.0,21712.0,232.0
2024-01-29 18:00:00,13004,Marseille,22.7,68.2,17.2,11.5,43.3060996358468,5.39579363613379,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,58.0,288.0,48074.0,48459,49281.0,49296.0,49636.0,50068.0,49296.0
2024-03-10 02:00:00,13004,Marseille,12.9,56.7,5.6,3.7,43.3052859999273,5.39471600005097,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,58.0,288.0,48074.0,48459,49281.0,49296.0,49636.0,50068.0,49296.0
2024-01-29 18:00:00,13008,Marseille,32.3,,36.9,15.3,43.2763488363056,5.3976711150776,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,62.0,2077.0,80724.0,81028,81276.0,81436.0,82155.0,82609.0,81436.0
2024-09-16 08:00:00,13008,Marseille,30.8,,21.8,14.3,43.2764499999454,5.39735999974862,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,62.0,2077.0,80724.0,81028,81276.0,81436.0,82155.0,82609.0,81436.0
2017-12-07 17:00:00,13014,Marseille,106.5,,,,43.315271999464,5.387528,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,137.0,1637.0,62199.0,62951,61965.0,61702.0,60968.0,59948.0,61702.0
2024-01-29 18:00:00,13015,Marseille,41.8,,25.5,15.3,43.3480529322015,5.36065154221904,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,124.0,1663.0,76420.0,75901,76610.0,77243.0,79092.0,79656.0,77243.0
2024-03-11 10:00:00,13015,Marseille,22.6,,5.8,2.6,43.3480499997511,5.36011900025736,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,124.0,1663.0,76420.0,75901,76610.0,77243.0,79092.0,79656.0,77243.0
2024-01-29 17:00:00,13100,Aix-en-Provence,75.8,,24.0,11.3,43.52404453793,5.44957577219403,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,236.0,18759.0,143006.0,142482,143097.0,145133.0,147122.0,147478.0,593.0
2024-01-29 18:00:00,13100,Aix-en-Provence,45.4,,20.4,11.3,43.5302972250095,5.44138313680286,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,236.0,18759.0,143006.0,142482,143097.0,145133.0,147122.0,147478.0,593.0
2024-03-10 23:00:00,13100,Aix-en-Provence,4.9,,3.6,2.2,43.5302849996847,5.44091200008074,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,236.0,18759.0,143006.0,142482,143097.0,145133.0,147122.0,147478.0,593.0
