Nom de la région,Code département,Nom de la commune,population_2016,Code INSEE
Pays de la Loire,72,Brûlon,1647.0,72050.0
Centre-Val de Loire,37,La Ville-aux-Dames,5605.0,37273.0
Hauts-de-France,02,Douchy,165.0,2270.0
Bretagne,22,Saint-Mayeux,484.0,22316.0
Grand Est,88,Saint-Menge,128.0,88427.0
Pays de la Loire,53,La Chapelle-Rainsouin,421.0,53059.0
Normandie,27,Saint-Denis-le-Ferment,503.0,27533.0
Normandie,27,Tourville-sur-Pont-Audemer,881.0,27655.0
Centre-Val de Loire,28,Maintenon,4352.0,28227.0
Bourgogne-Franche-Comté,39,Belmont,273.0,39048.0
Bourgogne-Franche-Comté,39,Cramans,532.0,39176.0
Bourgogne-Franche-Comté,39,Saint-Amour,2501.0,39475.0
Auvergne-Rhône-Alpes,42,Malleval,594.0,42132.0
Pays de la Loire,44,Nort-sur-Erdre,8844.0,44110.0
Grand Est,51,Gueux,1728.0,51282.0
Hauts-de-France,62,Muncq-Nieurlet,726.0,62598.0
Occitanie,65,Mont,48.0,65317.0
Grand Est,67,Dieffenbach-lès-Wœrth,357.0,67093.0
Grand Est,67,Westhouse,1550.0,67526.0
Auvergne-Rhône-Alpes,69,Belleville,8456.0,69019.0
Auvergne-Rhône-Alpes,69,La Chapelle-sur-Coise,593.0,69042.0
Pays de la Loire,72,Nogent-sur-Loir,382.0,72221.0
Normandie,76,Houdetot,176.0,76365.0
Île-de-France,77,Chailly-en-Brie,1490.0,77070.0
Occitanie,82,Bruniquel,620.0,82026.0
Occitanie,82,Monteils,1407.0,82126.0
Provence-Alpes-Côte d'Azur,84,Lourmarin,1131.0,84068.0
Pays de la Loire,85,Saint-Mesmin,1781.0,85254.0
Pays de la Loire,85,Vix,1826.0,85303.0
Nouvelle-Aquitaine,86,Marnay,707.0,86148.0
Hauts-de-France,02,Vigneux-Hocquet,273.0,2801.0
Grand Est,08,Apremont,120.0,8017.0
Grand Est,08,Écordal,333.0,8151.0
Grand Est,08,Inaumont,97.0,8234.0
Grand Est,10,Bétignicourt,32.0,10044.0
Occitanie,11,Verzeille,500.0,11408.0
Occitanie,12,Gramond,499.0,12113.0
Normandie,14,Seulline,1349.0,14579.0
Centre-Val de Loire,18,Contres,33.0,18071.0
Centre-Val de Loire,18,Poisieux,226.0,18182.0
Nouvelle-Aquitaine,19,Eygurande,694.0,19080.0
Bourgogne-Franche-Comté,21,Bessey-lès-Cîteaux,707.0,21067.0
Bourgogne-Franche-Comté,21,Saint-Didier,214.0,21546.0
Normandie,27,Aclou,328.0,27001.0
Normandie,27,Aulnay-sur-Iton,740.0,27023.0
Nouvelle-Aquitaine,33,Bazas,5021.0,33036.0
Nouvelle-Aquitaine,33,Mérignas,340.0,33282.0
Bourgogne-Franche-Comté,39,Cressia,380.0,39180.0
Nouvelle-Aquitaine,40,Gastes,799.0,40108.0
Auvergne-Rhône-Alpes,43,Grazac,1077.0,43102.0
Pays de la Loire,44,Basse-Goulaine,9095.0,44009.0
Pays de la Loire,44,Guémené-Penfao,5295.0,44067.0
Occitanie,46,Belmont-Bretenoux,408.0,46024.0
Occitanie,46,Lavergne,465.0,46165.0
Nouvelle-Aquitaine,47,Savignac-de-Duras,228.0,47294.0
Grand Est,52,Bassoncourt,68.0,52038.0
Grand Est,52,Saint-Broingt-les-Fosses,234.0,52446.0
Pays de la Loire,53,Javron-les-Chapelles,1422.0,53121.0
Grand Est,55,Euville,1701.0,55184.0
Grand Est,57,Bettborn,414.0,57071.0
Grand Est,57,Hellimer,569.0,57311.0
Normandie,61,Sainte-Marguerite-de-Carrouges,232.0,61419.0
Hauts-de-France,62,Saint-Michel-sur-Ternoise,896.0,62763.0
Hauts-de-France,62,Sarton,182.0,62779.0
Nouvelle-Aquitaine,64,Serres-Morlaàs,807.0,64520.0
Auvergne-Rhône-Alpes,69,Corcelles-en-Beaujolais,943.0,69065.0
Auvergne-Rhône-Alpes,73,Cevins,749.0,73063.0
Auvergne-Rhône-Alpes,73,Saint-Thibaud-de-Couz,1063.0,73282.0
Provence-Alpes-Côte d'Azur,84,Aubignan,5662.0,84004.0
Bourgogne-Franche-Comté,89,Vézannes,50.0,89445.0
Hauts-de-France,02,Prémont,719.0,2618.0
Auvergne-Rhône-Alpes,03,Bert,253.0,3024.0
Auvergne-Rhône-Alpes,07,Grospierres,912.0,7101.0
Grand Est,08,Corny-Machéroménil,193.0,8132.0
Grand Est,10,Bar-sur-Seine,3220.0,10034.0
Occitanie,11,Cambieure,313.0,11061.0
Normandie,14,Tournières,155.0,14705.0
Auvergne-Rhône-Alpes,15,Anterrieux,129.0,15007.0
Nouvelle-Aquitaine,16,Graves-Saint-Amant,352.0,16297.0
Centre-Val de Loire,18,Loye-sur-Arnon,313.0,18130.0
Nouvelle-Aquitaine,23,Peyrabout,154.0,23150.0
Nouvelle-Aquitaine,24,Coulounieix-Chamiers,8378.0,24138.0
Nouvelle-Aquitaine,24,Journiac,442.0,24217.0
Île-de-France,77,Thénisy,296.0,77461.0
Île-de-France,78,Morainvilliers,2910.0,78431.0
Nouvelle-Aquitaine,79,Le Breuil-Bernard,540.0,79051.0
Hauts-de-France,80,Béhencourt,338.0,80077.0
Hauts-de-France,80,Rue,3224.0,80688.0
