LastUpdated,Postal_Code,City,NO2,O3,PM10,PM2.5,Country.Code,Location,Latitude,Longitude,Country.Label,Department,Region
2024-09-18 23:00:00,23500,La Nouaille,,49.4,,,FR,Inconnu,46.58389,0.345556,France,Vienne,Nouvelle-Aquitaine
2024-03-04 08:00:00,24000,Périgueux,15.3,7.0,8.7,7.4,FR,Inconnu,43.695366,3.800817,France,Hérault,Occitanie
2024-09-18 23:00:00,24000,Périgueux,3.8,63.1,10.6,7.1,FR,Inconnu,43.58722,1.443889,France,Haute-Garonne,Occitanie
2016-12-05 02:00:00,25000,Besançon,27.85,20.03,39.2,2.6,FR,Inconnu,43.611668,3.864722,France,Hérault,Occitanie
2018-08-11 04:00:00,25000,Besançon,27.85,20.03,32.96176164740689,2.6,FR,Inconnu,43.47972,-1.488056,France,Pyrénées-Atlantiques,Nouvelle-Aquitaine
2024-09-18 23:00:00,25000,Besançon,27.85,45.7,10.3,2.6,FR,Inconnu,44.900276,-0.514722,France,Gironde,Nouvelle-Aquitaine
2024-09-18 23:00:00,25110,Baume-les-Dames,15.3,,8.9,4.0,FR,Inconnu,47.2750173101874,4.09832992182145,France,Nièvre,Bourgogne-Franche-Comté
2024-09-18 23:00:00,25190,Montandon,,33.8,14.9,,FR,Inconnu,43.2947895081236,5.57173766768144,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
2024-09-18 23:00:00,25200,Montbéliard,31.1,12.6,15.8,10.1,FR,Inconnu,48.1075139513805,-1.67916686168757,France,Ille-et-Vilaine,Bretagne
2024-09-18 23:00:00,25600,Dambenois,,65.9,,,FR,Inconnu,43.7933622306242,7.33139357882613,France,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
2024-09-18 23:00:00,25660,Montfaucon,,80.2,,,FR,Inconnu,43.6755544389705,4.62861441719004,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
2024-09-18 23:00:00,26000,Valence,17.7,57.3,15.5,7.2,FR,Inconnu,46.6666401423631,4.36666568034079,France,Saône-et-Loire,Bourgogne-Franche-Comté
2024-09-18 23:00:00,26100,Romans-sur-Isère,28.7,56.2,13.9,8.1,FR,Inconnu,43.5302972250095,5.44138313680286,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
2024-09-18 23:00:00,26340,Saint-Nazaire-le-Désert,1.1,24.2,5.3,3.9,FR,Inconnu,43.9335199525261,5.71170417210011,France,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur
2017-12-08 15:00:00,26500,Bourg-lès-Valence,42.75,,13.1,7.4,FR,Inconnu,47.5945165359368,1.30173969506476,France,Loir-et-Cher,Centre-Val de Loire
2024-09-18 23:00:00,26500,Bourg-lès-Valence,27.4,,7.6,7.4,FR,Inconnu,48.3996394541087,-4.46723207639797,France,Finistère,Bretagne
2024-03-11 10:00:00,26800,Portes-lès-Valence,22.5,62.0,41.8,,FR,Inconnu,48.3996394541087,-4.46723207639797,France,Finistère,Bretagne
2016-12-04 19:00:00,27000,Évreux,83.75,81.0,54.7,38.5,FR,Inconnu,43.510559975903,5.21972384044637,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
2024-03-11 10:00:00,27000,Évreux,8.2,81.0,54.7,30.1,FR,Inconnu,47.8005658610427,3.57639077544232,France,Yonne,Bourgogne-Franche-Comté
2024-09-18 23:00:00,27100,Val-de-Reuil,,84.8,49.1,30.0,FR,Inconnu,50.6408018273658,3.07477152078998,France,Nord,Hauts-de-France
2018-04-25 02:00:00,28000,Chartres,14.7,75.63,51.1,12.15,FR,Inconnu,49.2763912615378,2.48217089416201,France,Oise,Hauts-de-France
